Protein_ID,Group_A_1,Group_A_2,Group_A_3,Group_B_1,Group_B_2,Group_B_3,Group_C_1,Group_C_2,Group_C_3,Group_D_1,Group_D_2,Group_D_3
Q6IN84,6185305.71,4313482.119,8718764.69,6974924.84,,7791886.943,5205987.517,6305029.226,6405129.236,8754878.748,7109921.263,7019299.87
P0DO92,4461397.243,7090331.786,8250908.541,2895214.797,3573420.699,5573558.724,,6680280.927,4342973.114,5311908.133,6237133.785,3498246.385
Q8N104,182413690.7,135079396.5,98884247.52,,106336894.9,,145162810.9,144390988.8,157053727.7,156546696.6,108832236.4,173749475.5
P23508,329307984.7,243576537.1,278100251.1,579334791.6,459944752.7,276999979.6,420128845.1,364892999.6,310076218.6,228868055.6,359312107.3,356882672.8
O00180,,55318502.62,65290486.97,35820168.78,77413321.21,48741638.15,96020770.7,87882451.28,111224150.5,67731623.43,44129316.65,49162055.2
P35504,,69917268.14,74293949.72,67633546.25,92134685.07,88871405.88,78695392.82,123418309,76136335.94,123667600.8,78401407.57,75837151.94
Q13239,14100835.92,13058562.29,15625231.11,11209182.13,11196251.45,13731371.84,12019224.58,13066967.84,,11150072.76,,8896300.432
Q9H3S5,207499476,177075242.6,224080978.5,240241267.6,224289584.5,250199540.5,273123301.4,298249039.5,395809095.2,175041126,207785879.8,218924771.9
Q8NGK4,43619689.68,46340346.55,60182635.16,62327901.71,53626452.83,50714419.63,59986867.03,47331511.61,60222015.99,43783739.31,41158888.69,47973579.36
Q86YJ5,136511198,108020150,198758242.7,160998846.3,140356911.2,143261424.7,,104393721.2,135439506.2,107095968.7,85619074.77,112212387
Q96A25,11762679.99,10162614.04,8002343.922,11776188.46,12994333.53,12940259.16,9752978.973,8434774.585,16138376.43,,4074119.553,8615955.556
P80370,227732762.7,83003826.63,112300342.6,128675543,168760664.3,141892803.9,188624081.1,65407804.47,162394644.6,109003497.2,118071546.9,171946071.8
O75439,241601179.6,209875318,221528891.5,255912891.2,298844817.1,224175229.1,134329030.2,165883155.8,187677011.5,219099066.1,260426798.4,
Q96I15,23629636.14,,31535784.83,30046934.44,25130208.96,31324686.95,32346453.53,20944699.27,34495894.46,17117866.06,24874264.77,20942441.12
Q5T0N1,1185666.745,1518897.512,,1223420.169,1919712.31,,1556973.021,1393514.395,2431676.004,1592404.07,945909.377,1334166.267
Q9UKK6,,15570075,13804260.27,8649852.762,14317019.4,15252398.67,8228005.518,,,,10661263.2,16659101.81
P24386,24626367.01,19322928.94,,5926218.848,8812740.285,9170745.017,15363886.96,19415844.16,25555025.76,20381371.32,24523161.07,22494109.78
Q9UMS5,25733821.08,24528347.21,24015561.29,,29427231.25,42088926.5,,29858609.36,29361715.26,27779785.86,,28758565.96
P55291,3456684.387,4472098.731,4225043.963,2828376.317,5037377.316,3617592.438,3234211.798,3417615.243,3365717.096,5327404.392,,7309179.6
A0A0U1RRA0,,103384307.2,150499750.2,147862223.3,191726979.8,213928174,142190073.8,156864302.9,180138430.5,169494493.5,188508419.6,204058892.2
Q99456,12351859.77,15783411.04,,12208644.94,14320978.5,15642724.44,13534992.07,16131222.1,16514089.12,19580356.88,11691243.27,
Q9UFB7,196085841.4,204340919.7,,85412145.59,,172997809,196645141.6,166281119.6,157676298.6,112139332,179555824.1,148533233.2
O75473,106377998.4,113746245.4,178941789.8,126579504.3,141722666,114637899,108466851.3,118777964.1,164096858.6,119555772.2,137593484.8,124473562.4
Q6PIY5,2533800.732,3926014.1,4304708.527,,3247273.484,3431304.671,,4798467.282,3611539.488,2534011.275,3489802.997,3264259.738
Q00765,26808001.01,25688977.79,21309699.43,30150354.02,,30357894.63,23201851.04,,28910571.97,26671387.85,29258950.77,21609475.2
Q96NN9,18449985.03,16513774.19,,17353213.11,19018999.39,16947343.87,15248077.78,20329539.36,28479729.41,,19055624.27,16232177.16
Q9Y508,215985045.1,296059270.1,249381689.1,237636696.6,201588767.9,248738842.1,162412095.3,158512324.1,132688553.8,152562980.6,172713272,183921984.2
Q96N96,545736490.8,543868456.1,694677637.9,587556112,512433833.7,733586265.2,605083518.3,,563873651,524526084.1,716457796,472714889.3
P14061,6889267.441,,9673602.157,6093997.846,7506065.128,9389720.261,7708644.238,8341830.01,8536814.622,6915565.443,6759649.168,9144491.124
A5PLN7,53370856.13,66972703.53,85153276.33,66549899.45,,126005410.5,,79146845.05,107467639.1,,72691088.65,122857444.2
Q96E14,10991029.05,7888057.439,13866512.25,8320991.44,,11325617.84,11298754.88,10711768.56,11419725.09,3288968.803,,3492874.903
Q6L8G8,19910487.03,21160491.49,27622088.54,23273498.94,20728067.32,,,24736818.91,19002498.54,30791442.8,,15863615.44
Q8IWB9,69621572.1,56661481.27,61396178.57,90282432.17,86635153.02,91198112.7,187564685.2,203842446.5,168965363.2,102372306.8,56559820.93,74853278.63
O95863,27342011.73,34338362.94,,34931592.56,,38200066.79,26897753.01,26201400.92,27525990.32,9216042.564,16328762.19,11729139.27
Q3SY84,142760176.9,172660542.4,172257505,118767363.5,,141056500.7,123602980.4,163620565.4,138156521.2,146019404.4,120815560.2,135300123.7
Q7Z713,,7612638.674,9792354.912,6591554.081,6810130.003,6283773.305,9147161.945,6674541.76,7870816.822,6079442.596,5189245.034,7108984.517
P12318,48852354.94,58377785.09,38418832.59,40154874.61,65629991.22,51526549.48,45925372.55,42905968.94,57373384.75,47345309.88,46378595.51,59438996.82
Q9UPY3,11249953.28,14214832.12,17625337.3,16156931.31,22396543.45,13842067.99,11437382.38,16846035.21,14630642.44,7877751.901,9948815.547,9100074.789
Q9UGI8,34758834.21,35630609.42,38511461,34853560.87,34501240.31,46399738.19,37861042.5,35382043.29,26726169.25,32587033.49,34634405.89,45520228.41
A0A0C4DH26,1171368.05,842626.592,892019.134,,634340.636,1022893.116,664725.328,853883.409,831588.108,754118.198,,
P16403,23090439.41,15310337.03,19889311.7,12966411.38,22306791.05,23364432.28,18625556.55,22143936.53,20631127.37,6657402.109,11482700.42,6081772.166
Q5JRK9,24685787.92,21475931.05,21402174.6,,31312470.28,26692878.56,35150482.55,52148055.47,28397640.57,22619616.12,40293039.95,21470435.71
P07148,45066740.31,57714185.8,,,,48761436.92,36292698.75,,55910463.28,45185519.95,36104575.65,49952922.36
P19971,66891600.95,44580844.81,67616131.86,43420630.95,71129161.28,59555221.74,51490200.47,49787224.09,45857055.27,39213993.66,61259213.44,74279266.52
Q8NHG7,27276649.39,24973866.46,28166754.17,23215581.83,30007807.46,,27191452.06,13561355.65,29692472.32,30545699.79,20993337.22,32195277.06
Q9UNN8,11785606.53,15225080.98,19093251.65,14603036.24,11550853.29,20237596.97,28350392.93,29832724.67,27450595.99,15053362.21,14087942.3,14360064.3
Q14202,1624458.3,1484969.058,1323673.078,1417216.912,1577668.578,1357254.776,1301134.668,2021712.477,1799152.399,2604353.937,4552933.956,3351207.064
P46379,67435815.9,74423400.33,94576226.06,105951320.4,75113621.62,74242171.14,63432763.06,,119684357.4,218445376.6,396005312.8,300067262.1
P46091,3496464.512,4497896.171,6407676.93,4418873.224,5805952.599,5722678.935,5133095.85,5179431.526,6721164.367,5253711.378,4557791.845,6904948.169
Q76G19,140600411.7,155587154,131672604.6,226916404.3,,154714481.1,108618111.2,171428212.8,200908111,107863072.7,288109819.5,
O43913,174724288.5,157381951.5,206457309,215127703.1,146133652.8,286776938.4,201485480.8,,239092361,512417375.1,576199373.4,405186722.5
Q14978,16949108.18,,26785821.93,,25008012.17,,21112767.67,11813712,17852114.88,16162518.13,10863043.93,17026044.43
Q9NRJ4,25421425.16,18781412.17,27620978.92,32756773.77,34063203.72,23142311.29,19660813.78,25158380.25,41709049.3,14050250.42,27362790.32,23167858.38
Q9H6B4,16961605.01,18080229.8,22402636.81,16296255.46,16237468.22,19694783.14,16477338.54,25051244.12,25966280.05,15345799.66,,27835903.68
Q9BWQ8,,44267131.67,44700390.41,44924481.9,37870182.47,51427193.1,32580183.3,27884435.82,55402262.98,37815226.67,40112088.27,38164595.51
Q9BXJ4,34105303.11,19398334.13,25035418.44,,29697739.94,25656218.69,5689485.449,9161857.329,5897910.11,,20100689.23,23793513.72
Q9NX00,45236545.6,73164218.38,72895088.3,87139449.74,70566985.35,62860909.09,48465510.7,73529346.23,85386697.02,48343481.95,100633800.4,105306068.9
P28069,117676281,122291670.6,177645183.2,93642255.82,,149717716.7,124883932.4,122824701.6,131958773.6,107304521.5,101466598,88977801.44
Q86TZ1,82227357.36,92135994.9,85900138.79,74852581.06,93118528.23,94220005.74,86171865.4,84264556.32,79509979,72223067.43,,105467539.6
Q7Z401,72428008.39,90596001.35,32821541.68,,25463133.33,52807785.13,48308089.87,51669704.8,71755238.87,49140304.01,,47003329.88
Q6IN97,,8670094.587,12581081.5,9603998.733,6581277.143,13598555.52,10502703.88,12303906.59,11914994.17,,10852566.81,11278656.39
Q9H4Z2,5126380.074,5247491.205,5949346.843,3383780.301,4894410.436,4762163.915,4320157.287,6632936.97,,1375406.432,1387985.56,2489439.922
A0A8I5KY20,58774745.26,66510575.93,68948603,134775145.7,184088479.4,125560840.1,47016192.77,80613160.32,92090823.59,58341622.9,,41769729.6
P46100,22601654.31,23123620.5,29491925.35,11313144.75,15714573.8,16783497.98,,52788006.41,31239074.89,55185680.63,44527999.9,
Q9NPG8,,45634155.59,48280128.14,,42645716.54,48555488,43892387.25,34847920.81,66545649.32,14394334.91,23143494.67,25318908.42
Q93015,6365071.437,5779374.247,7545442.657,16808387.4,16375679.87,19280098.78,6162133.104,7961777.978,9450705.681,5995626.96,6173855.352,7223347.213
P24593,5654588.94,3388950.629,5563963.739,15463831.77,15155619.23,12618023.34,,3920541.581,4721969.837,2958997.763,,4090590.457
Q9HBY0,6245745.879,6808805.864,8163011.803,5258548.009,6290923.056,8133534.984,,9026492.92,5414692.875,3546943.218,4379845.915,2882585.016
O95466,15839749.4,,16336111.96,15501286.77,16226658.22,15310410.33,13650096.36,13911932.2,20215174.48,11891166.41,13940682.78,14741882.45
Q15111,129601168.1,97437874.95,177570719.4,101698596.1,155301842,161352576.2,176091215.7,118836309.6,162521035.7,133824265.6,120236532.3,192484441.2
Q14CS0,,,503323919.2,351836411,293524079.6,470002665.8,,319700634.4,439579175.1,979577686.1,886835123.2,
Q8WVZ1,8841090.711,9696289.389,13466572.81,6754376.914,8251750.961,7320948.807,40101554.74,22555511.46,32041274.15,7945467.265,9869644.952,11463448.73
Q96FH0,674637.064,983789.549,1283551.664,1189778.748,1146091.668,859958.633,1378959.118,591816.022,1695276.869,1042939.036,1991629.146,1144590.605
Q8N9V7,7647574.601,12282313.55,14647732.67,3978195.988,,5294564.051,13785191.37,12359448.31,15815912.7,10193334.97,,13094432.98
Q9UMX1,6083348.263,7135686.252,10532804.2,4154061.691,4031912.066,4073231.449,3036810.584,2989254.927,3780591.724,6538031.319,7748296.669,8628070.062
Q9P015,31785417.3,29821210.17,,31358205.2,31945899.03,31543014.4,40529380.98,33658038.26,41030957.05,20875401.86,30324109.79,36956788.54
Q9BYE9,87876532.12,104376057.6,93165886.12,91614382,91383334.27,97396460.93,78156132.57,104208950.7,112646651.4,92586198.18,85235771.48,80744494.96
Q9BUL9,,42267260.36,47475502.8,16867166.11,19473310.5,16695353.22,,28960333.75,73187817.83,,57784270.17,47775179.33
Q5VT40,,117830847.6,80124913.76,98074210.16,98640563.38,134399701.2,,104091827.9,89461696.38,87798756.87,71775722.86,116396408.7
A0A1B0GTK5,104235225.7,134656487.4,112013621.3,97072201.26,,166684219.8,106192544.5,99778461.33,110157895.2,134390957.4,112157901.5,112152680.1
Q8NG98,,13608222.81,,9128301.876,20981529.26,15643627.08,7120129.357,11915072.38,17169219.15,8432317.136,11875412.66,
P28039,80559627.62,75312644.14,94768400.65,86320398.24,84506115.87,84275856.93,70492189.87,,99965535.56,82749394.16,64604933.57,60621739.02
Q86T03,12820110.85,13156497.63,17626127.72,14371939.45,,14847329.65,29729629.93,28719661.9,36002984.74,13083110.71,15427556.39,15901500.4
P30049,21145099.58,27258216.58,40186843.12,22978494.26,17403485.2,28228544.41,20173020.01,34907194.26,30206154.11,,23310445.54,37075895.27
Q16690,26876598.06,66675807.37,52291445.7,,130574907.5,79977970.57,42745523.85,48497717.26,41306209.73,37403421.39,44636787.64,85570920.46
P0DP75,,201158795.6,254032498.3,159210308.5,224748999.1,247386150.3,229254439.8,235060817.4,,193064634.3,136063545.4,261126496.9
Q9BWD1,48170345.41,,77781001.74,52172666.22,75742028.84,94029912.29,76005286.68,48232162.08,73986839.48,,47698567.1,89613698.32
Q92839,61715993.85,65625707.29,55704337.2,95422285,,69558772.27,69352250.24,,196068275.2,83538428.05,50502388.3,78948735.47
Q8N1P7,,3390595011,,2544664708,4432319234,,,3976629381,,,3193295503,4098218292
P17039,398372627.7,368452663.7,505275736.4,551932960.9,447873687.1,,1188602439,1257999188,1225306883,413252870.9,496642506.9,
Q9NQX6,152246217.5,126920761.8,144104374,50610196.16,72828283.97,60085168.27,145667584.1,219257710.5,,157841004,143872425.2,158432985.8
P49792,12804205.65,16462832.82,26596274.88,22860945.63,27890558.5,,20461793.45,19818821.12,30554084.18,24508930.62,31602345.78,22141759.83
Q6UWZ7,68617751.62,,80354924.86,30734742.56,43998909.82,41025134.47,75328075.35,59597933.41,72412518.78,,60439729.65,69564528.17
Q9ULV3,74723319.22,80492428.89,,131608710.5,128920732.7,139271504.5,82369990.37,96299601.26,115341130.3,119468645.8,,126605732.4
Q9UHF1,26281203.49,26629439.09,29237075.93,18618743.14,19506061.93,27058492.41,24630255.68,25137209.01,24345747.14,21129891.46,27120339.57,36549296.02
P50120,42335487.98,48340700.31,44549156.17,37297613.78,41996506.72,60046992.02,60972384.87,44351091.94,44450408.66,,,45372468.67
P36575,39453322.68,56971033.98,69201512.8,40246698.44,,63589712.24,49224291.5,48535194.16,51634005.1,60930457.28,,63117031.63
Q3ZCT1,26700875.97,19274176.57,21417178.68,24910899.86,,25506201.75,19680163.47,28797722.94,28731747.12,17436321,23764557.01,25977877.2
P59768,213976570.3,124923803,162287334.4,187174006.5,150582133.3,315879722.2,190105221,194732551.9,259425759,167242936.9,122146714.2,165012085.6
Q96CS7,35666736.28,50472941,61729241.71,,56479225.11,,36875545.94,,83352910.47,36206117.05,83721416.26,72288057.51
P21941,148069381.6,164269943.1,250096720,909904480,619017621.7,527306372.4,182519272.4,233432591.2,193821571.9,218850185.5,195442753.8,233862934.3
Q8IXS2,113058159.7,72887194.41,140994807.8,147482016.7,,140350483.8,,77521397.07,120851618.7,108798898.3,,168169291.7
P06310,20921737.31,22235227.82,23181093.5,67079511.81,41333149.4,63315633.16,11648680.46,13174158.66,11796209.66,,,31209057.32
Q9NQ60,12336444.11,12426022.21,10302579.73,,11012055.91,12957257.8,12092858.7,14306723.12,15278031.02,8560174.903,7029343.734,13622123.79
Q6NUN9,7871244.35,8347055.085,10558035.67,8285043.401,7289202.743,10494694.63,8690636.049,9743528.742,8491690.13,3941154.981,5314837.943,5262755.754
P62324,48186441.3,56981600.39,53005873.12,42691054,52367547.1,56436157.82,48081318.28,34761994.31,57147072.49,36155216.18,46819243.2,51639460.71
Q12955,63449747.41,64654674.55,83883471.25,77282216.55,102758018.5,67694775.43,57272192.01,78871999.78,74132289.16,71304919.9,83057639.36,90258922.4
Q00341,91566400.04,93584126.45,98550727.97,,105300444.6,133073114.1,260079629.4,152063404.6,,107727563.9,81906340.01,76455309.15
Q96BZ8,9517276.245,,15325124.35,19165498.67,,25675073.97,10031674.99,9847590.687,11359553.91,4832832.164,6897026.899,4123749.127
P0CI26,89637738.08,145425473.5,126457324.9,328339748.5,139894566.9,,186625858.5,207281847,477765647.7,143614991,93525746.3,114190059.5
Q9UEU0,11840974.48,15692608.33,18403485.9,16402218.51,18565137.97,17659679.7,18428103.29,17983260.05,19913015.97,14333692.26,16362772.36,
Q9NPH9,54018734.77,65134711.36,55581787.39,,70247202.15,53212350.59,54744242.58,90036777.74,,,13931305.55,16455442.8
Q9Y3F4,11800786.94,11629673.6,14450141.05,9616381.825,8220797.177,13284301.75,11086001.06,8749326.55,10884285.14,10043474.03,11695247.24,11661971.55
Q9NS82,165885454.5,,243239933.5,77333155.31,77865439.84,128134738.8,332283886.5,190629040.3,,169398683.4,158176899.7,189866407.4
P01178,,8588295.6,9330655.365,5474102.756,9715160.583,8586665.879,8281645.837,6248594.899,7735725.244,7324261.244,7958327.021,9377397.103
Q15642,57834566.88,63712225.66,,73016537.35,108006656.4,71585038.56,60127939.26,96782345.08,80439439.27,66435182.13,57870901.63,65332172.16
Q9H981,120547141.3,141755126.7,89787930.77,57933614.95,141959406.6,,120741224.7,134826371.8,105110852.1,64538006.58,,90936183.36
Q13387,325467322.6,223391854.3,261628347,,178170264.1,,,202378467.9,,265599056.9,291372663.5,208238918.2
Q1L6U9,1387753903,1314780414,1058569808,962118327,1190558462,1573819566,1626289166,1597715227,1378841136,,1246504402,1777565869
A0A075B6U4,766051.722,744068.713,718153.183,753327.652,772185.689,996614.664,764450.305,545355.848,846709.731,,893153.043,731979.279
O95968,381651726.6,498971472.3,718413390.5,358624729.5,,775211270.7,261910999.7,363959662.9,493407182.1,285945962,322318552.6,304550558
Q8N6V4,7099141.382,,6276031.554,11737217.62,5084935.595,10840981.74,19953816.58,13948848.15,18084710.25,5454976.63,6837702.645,9744578.636
Q9UF56,14097870.02,14586764.17,14555714.03,19848475.99,13835179.75,,11648512.16,10402463.4,13416241.74,7571838.057,7302995.999,8564558.518
Q6ZVX9,6420908.447,6126172.576,6740474.495,5680565.895,6597801.623,,13268476.71,12823188.71,18961107.7,6881606.739,9064503.469,5729600.224
Q9UGL1,34265517.43,50281142.34,38000234.91,31441859.14,41433595.39,46121391.25,41504641.77,54348197.43,41304055.51,42111147.07,35828314.59,28806050.43
Q01995,8547608.516,8648607.789,10120322.36,7232305.725,,9233790.201,3766353.144,5587406.915,6017233.786,8996066.568,9275781.446,13156380.6
P0DUD4,6506072.034,4871838.675,8253747.254,5757061.669,7842664.954,6109212.015,,5506941.082,6387142.193,2004991.603,3374935.286,3697355.624
Q7Z4L9,37634107.86,51239932.53,68856978.22,35868343.86,,58830531.7,34058133.53,44322254.49,43514123.17,48393215.92,44706869.72,40545958.83
Q13642,,755946397.6,957405227.9,779026725.6,998767599.2,1689985347,709854456.6,1670000743,1005961519,985789551.3,913964463,727495382.7
P0DP24,62027954.2,100309398.4,79341058.43,91061904.62,81654585.05,108550569.5,97807783.83,75081256.51,93568798.06,79138715.13,88431411.19,74589386.75
O00512,13594688.49,16344935.02,17788435.99,11993225.41,17625516.35,19773207.57,23048459.52,18136543.03,16655894.21,14871144.3,13416167.91,17799637.19
Q9BXF3,846910.078,873396.066,818450.524,780250.557,815904.218,987167.481,707356.187,785355.459,1021497.952,728537.791,835374.903,
Q8N0W7,41481267.77,44395752.97,40571135.99,37263591.92,35501745.31,45349076.83,45551457.56,57836368.75,43362565.36,32830985.05,40233651.96,46363409.83
Q9H939,404496537.7,301618809.8,403220198.4,360315306.3,509570564,,349753789.8,,369979029.2,,362458619.8,537030935.3
A0A0A0MT76,33101860.61,47066048.12,33991035.09,,29788143.82,36935536.93,31872523.73,34387267.85,41073690.43,34091231.53,32813620.62,
Q8TDX5,8695474.506,7938354.19,9795520.91,13942009.2,11320592.91,,9417408.021,7791512.188,12162716.13,,16480933.87,
Q8N3Z0,,664838534.1,563232253.3,526625649.7,892439651.2,676141011.6,183612896.4,,369884927.1,552273505.2,821362300,805958860.4
Q03013,134118232.4,175937411,189320166.4,,216309189.1,131024461.9,,198285397.2,257865621.2,97784374.33,164437447,203576317.5
Q9Y2X9,29933856.8,53484376.86,48656971.85,33696541.78,49176907.92,47954096.71,41367819.85,46289510.13,46714112.06,48937257.25,47458279.58,52709868.33
P43627,94122982.41,108903767.4,173066679.3,135470837.3,140239860,138569793.9,87672638.96,113755442.4,127930296.8,77842969.39,201303329.7,202658238.2
Q9UI14,7001669.079,,9166046.003,8422853.479,8946903.169,16754891.53,8325464.952,10582745.58,8790671.785,13400082.06,11909141.18,11277233.16
A0A075B6I7,6778788.163,,,7789751.231,8563533.193,6004778.28,8413250.786,7495380.421,9910473.207,,7929118.485,6507580.455
O75508,15624077.79,16916847.04,21434568.94,15727307.05,11910133.88,18564515.12,14396450.52,16436594.82,20601626.07,14406678.48,10947364.51,13861526.18
A8K7I4,137881996.7,125424186.2,160252690.9,130461419.4,154437431,156995208.6,46259971.13,83899211.26,50863606.74,120902720,,160822498.1
Q9UBQ6,,,15887007.52,13876275.67,,13801964.87,9780687.136,13546724.9,15676599.09,12860394.94,,18040850.72
Q8WWN8,46765401.33,59081961.4,119598166,60476492.81,68300341.19,67445225.71,74718093.73,,64937740.17,30944663.44,42007487.5,42559680.71
Q9Y697,306104209.1,363286682.1,411239978.2,346903308.9,314476646.6,,270640090.1,314735211,422143991.5,297130333.4,244301285.5,299696359.6
Q13867,71525432.46,101950244.3,90339536.18,92905849.84,113352155.5,89020709.53,82405912.6,91813008.73,120600306.3,74919730.27,86196372.49,89010459.96
P52742,397519788.1,677955453.8,,377113836.8,,393037567.5,640279545.1,654710828.7,389544103.2,676559611.7,277627180.1,465385505.8
Q13522,,124648825.6,100949666.8,60429046.51,73729150.43,76519343.82,62618148.81,97728131.33,78936960.92,70634879.92,74699467.9,85922873.2
Q9Y5F6,84189144.43,81703814.44,,76147470.34,71452429.27,116494167.4,66556752.81,95962817.41,111377333.9,68049288.67,75107319.82,
P81133,49366570.32,86923336.6,,21715976.2,46072925.97,84342150.98,33552299.96,29326124.76,39305748.88,39058000.88,33330706.5,50665957.99
Q53H64,3099147.057,,3684892.308,4329380.262,2962909.755,3868395.68,6790032.038,8743622.048,,2822569.092,,4587807.378
Q9BZR9,9790245.278,16386455.77,19124460.62,10776302.16,14746706.02,12600926.36,11294120.99,9128718.213,18307384.35,11071568.9,16587663.15,
Q96RP8,2952774.427,2719592.067,2696960.663,2157543.922,3386222.685,2179812.387,3379529.738,2666729.45,2787225.396,2640768.908,2639436.121,3351141.234
P51991,11821657.74,15878074.11,8252019.221,14259291.05,13726540.98,8089997.175,,18417927.79,7728548.711,,16517243.94,16776864.51
Q9Y535,3862706.647,3546069.256,6057738.712,2874574.048,4844009.627,4819172.47,3354599.728,3448366.995,,2070877.974,4960602.783,3559414.185
Q9NS23,47615900.26,,66270140.45,53085181.2,,67996492.23,50112763.84,71502519.76,73517066.8,,64657987.68,76025948.03
Q9BXJ9,52410789.61,65187112.97,73789062.45,53093175.63,68931827.67,47246380.47,222050859.9,175806385.1,167931666.5,46579062.05,52742226.12,89121248.25
Q92482,1540029.491,2600827.779,2484334.062,582158.46,798375.233,779832.689,2193299.251,2875533.857,2398242.514,3124693.338,1849168.848,2120540.334
Q8WV37,307542977.2,249082172.4,,140658576.8,123899541.6,161858029.3,266373560.5,274007022.9,403952048.5,234235430.8,396675267,352696681.4
Q16799,156731395.6,188190786.8,139861867.3,167917012.1,150151442.9,167815128.7,177841608,176248780.4,141471357.9,158626947.2,215210092.8,184198510.5
Q96GX1,,56301557.66,,,81255487.61,46717046.02,64311825.01,80904632.29,65112572.81,55401855.86,74442692.42,56793892.37
P36544,8154377.578,,8373361.202,8493397.678,11728384.14,10033613.35,7511441.938,7174676.222,,7650491.053,6370948.374,8083288.237
Q52M58,134049177.5,119408474.1,141087450.1,109086035.8,147553924.2,159729907.2,122644891,158440603.5,115986701.9,105736390.4,129502081.9,111489229.7
Q9H8S9,382367524.4,261357465.8,369671730.7,324275270.5,,285174788.6,274091139.7,362130003.1,354882174.5,263557521,217666336.7,259865216
Q6P4I2,10872683.97,11177515.72,14900379.6,11291289.34,7639074.204,16029471.12,11504165.49,,9754007.851,13365805.55,12064861.18,17284558.08
Q8NGK9,64498223.5,76045046.18,69786802.08,56827005.66,62033907.87,110062273.8,,74292208.93,59856271.83,77301807.85,88445918.91,85385165.66
A0A494C1I1,686880684.5,612227186.9,,536010106.1,577923557.9,478500562.5,189453883,238762540,228012839.3,492129413.5,480487691.4,433644167.4
Q9BQL6,92881477.46,137263399.8,103171191.3,78652283.79,100649120.4,119143401.2,62164786.82,54280160.47,86132932.15,332794565.2,202606416.9,299334711.4
P48507,105076269.9,59358921.99,57871630.68,61545275.15,59773162.44,,39123919.04,59414145.23,72826309.79,71038713.3,73671091.49,
